id,story_group_id,element_group_id,description,direction,x_start,z_start,offset_start,offset_end
1,1,5,story 1 exterior line,x,71,0,0,0
2,1,1,story 1 interior line,x,71,300,0,0
3,1,1,story 1 exterior line,x,71,600,0,0
4,1,5,story 1 interior line,x,71,900,0,0
5,1,8,first story walls B,z,71,450,0,0
6,1,8,first story walls D,z,671,450,0,0
7,1,9,first story walls E,z,971,450,0,0
8,1,8,first story walls F,z,1271,450,0,0
9,2,6,story 2 exterior line,x,71,0,0,0
10,2,2,story 2 interior line,x,71,300,0,0
11,2,2,story 2 exterior line,x,71,600,0,0
12,2,6,story 2 interior line,x,71,900,0,0
13,2,10,second story walls west,z,0,450,0,0
14,2,10,second story walls east,z,1642,450,0,0
15,3,6,story 3 exterior line,x,71,0,0,0
16,3,3,story 3 interior line,x,71,300,0,0
17,3,3,story 3 exterior line,x,71,600,0,0
18,3,6,story 3 interior line,x,71,900,0,0
19,3,11,second story walls west,z,0,450,0,0
20,3,11,second story walls east,z,1642,450,0,0
21,4,6,story 4-5 exterior line,x,71,0,0,0
22,4,4,story 4-5 interior line,x,71,300,0,0
23,4,4,story 4-5 exterior line,x,71,600,0,0
24,4,6,story 4-5 interior line,x,71,900,0,0
25,4,11,second story walls west,z,0,450,0,0
26,4,11,second story walls east,z,1642,450,0,0
27,5,7,story 6 exterior line,x,71,0,0,0
28,5,4,story 6 interior line,x,71,300,0,0
29,5,4,story 6 exterior line,x,71,600,0,0
30,5,7,story 6 interior line,x,71,900,0,0
31,5,11,second story walls west,z,0,450,0,0
32,5,11,second story walls east,z,1642,450,0,0
